unix,date,symbol,open,high,low,close,volume,tradecount
1636330000000,2021-11-08 00:00:00,BTC/USDT,63316.4,67932.89,63308.7,67606.96,18088392667,3272069
1636240000000,2021-11-07 00:00:00,BTC/USDT,61511.3,63377.58,61368.26,63316.4,8884101796,1799395
1636160000000,2021-11-06 00:00:00,BTC/USDT,61006,61645.75,60100,61511.3,9432009427,1861601
1636070000000,2021-11-05 00:00:00,BTC/USDT,61433.9,62671.48,60762,61006,9697454173,2048592
1635980000000,2021-11-04 00:00:00,BTC/USDT,62946.45,63149,60703,61431.86,11399249536,2147665
1635900000000,2021-11-03 00:00:00,BTC/USDT,63266.69,63613,60300,62946.45,13219637045,2546692
1635810000000,2021-11-02 00:00:00,BTC/USDT,60942.87,64349.55,60659.58,63266.69,13660618220,2578549
1635720000000,2021-11-01 00:00:00,BTC/USDT,61347.14,62543.58,59400,60942.87,15074399515,2574208
1635640000000,2021-10-31 00:00:00,BTC/USDT,61895.19,62462.99,60008,61348.61,11207623544,1990247
1635550000000,2021-10-30 00:00:00,BTC/USDT,62308.21,62415.85,60631.23,61895.19,9612679323,1843670
1635470000000,2021-10-29 00:00:00,BTC/USDT,60622.02,63069.71,60222,62308.22,13443682101,2463370
1635380000000,2021-10-28 00:00:00,BTC/USDT,58449.36,62641.26,57550,60622.03,20097525760,3473122
1635290000000,2021-10-27 00:00:00,BTC/USDT,60358.74,61550,57865,58449.36,19537339455,3358588
1635210000000,2021-10-26 00:00:00,BTC/USDT,63129.25,63362.06,59838.05,60358.75,15638312967,2733730
1635120000000,2021-10-25 00:00:00,BTC/USDT,60902.82,63795.98,60701,63127.04,14692569107,2616705
1635030000000,2021-10-24 00:00:00,BTC/USDT,61325.09,61550,59504.46,60902.82,14885043274,2594160
1634950000000,2021-10-23 00:00:00,BTC/USDT,60734.28,61780,59622,61325.11,13592218440,2490240
1634860000000,2021-10-22 00:00:00,BTC/USDT,62260.33,63796.2,60011.9,60734.27,21694368337,3806113
1634770000000,2021-10-21 00:00:00,BTC/USDT,66064.25,66750,62000,62260.33,30800550148,5154202
1634690000000,2021-10-20 00:00:00,BTC/USDT,64314.75,67150,63518.81,66064.24,21256679161,3807997
1634600000000,2021-10-19 00:00:00,BTC/USDT,62037.92,64500,61300,64316.7,23836964138,4058114
1634520000000,2021-10-18 00:00:00,BTC/USDT,61571.45,62800,59897.61,62037.92,20556521575,3859785
1634430000000,2021-10-17 00:00:00,BTC/USDT,60925.56,61796.47,58850,61571.45,14569391373,2991800
1634340000000,2021-10-16 00:00:00,BTC/USDT,61702.33,62444.23,60220,60925.56,13067491173,2733733
1634260000000,2021-10-15 00:00:00,BTC/USDT,57377.12,63997.61,56900,61702.33,29726367097,5189976
1634170000000,2021-10-14 00:00:00,BTC/USDT,57393.65,58586.67,56800,57378.19,14692446487,3039506
1634080000000,2021-10-13 00:00:00,BTC/USDT,56011.83,57822.38,54271.24,57393.65,18304667792,3544345
1634000000000,2021-10-12 00:00:00,BTC/USDT,57500.01,57756.52,53750,56011.84,19709191748,3760362
1633910000000,2021-10-11 00:00:00,BTC/USDT,54700,57880,54458,57500.01,17849826167,3488893
1633820000000,2021-10-10 00:00:00,BTC/USDT,54960.79,56789,54101,54700,15966267342,3209899
1633740000000,2021-10-09 00:00:00,BTC/USDT,53974.99,55589,53656.66,54960.77,9179243467,2142375
1633650000000,2021-10-08 00:00:00,BTC/USDT,53814.99,56208.73,53647.3,53975,13956986828,3022362
1633560000000,2021-10-07 00:00:00,BTC/USDT,55327.45,55337.8,53374.34,53814.99,14289443599,3228490
1633480000000,2021-10-06 00:00:00,BTC/USDT,51460.22,56416.02,50410,55321.6,22242398945,4406727
1633390000000,2021-10-05 00:00:00,BTC/USDT,49199.78,51888,49009.21,51455.12,15777204364,3327967
1633310000000,2021-10-04 00:00:00,BTC/USDT,48187.99,49544.48,46885.29,49198.22,15638433547,3491003
1633220000000,2021-10-03 00:00:00,BTC/USDT,47626.62,49304.12,47071.26,48187.3,10220431022,2555217
1633130000000,2021-10-02 00:00:00,BTC/USDT,48123.93,48338.68,47410,47626.61,8730132628,2094016
1633050000000,2021-10-01 00:00:00,BTC/USDT,43799.49,48450,43260.01,48123.94,20816747005,4182441
1632960000000,2021-09-30 00:00:00,BTC/USDT,41499.7,44100,41387.78,43796.57,16818655330,3595137
1632870000000,2021-09-29 00:00:00,BTC/USDT,41002.96,42576.8,40708.73,41499.71,12246762410,2890161
1632790000000,2021-09-28 00:00:00,BTC/USDT,42122.69,42749,40854,41006.32,15049002596,3336982
1632700000000,2021-09-27 00:00:00,BTC/USDT,43150.01,44350,42059.13,42122.69,12386098075,2858510
1632610000000,2021-09-26 00:00:00,BTC/USDT,42646.84,43940,40725.01,43150,15063801544,3234331
